scenario,player_1_strategy,player_2_strategy,matches,troops_per_player,battlefields,total_battlefield_value,player_1_win_rate,player_2_win_rate,draw_rate,avg_player_1_score,avg_player_2_score,avg_margin,avg_runtime_ms,max_runtime_ms,avg_player_1_score_share,avg_player_2_score_share,avg_player_1_battlefield_wins,avg_player_2_battlefield_wins,avg_tied_battlefields,avg_player_1_hhi,avg_player_2_hhi,avg_player_1_entropy,avg_player_2_entropy,avg_player_1_unused_battlefields,avg_player_2_unused_battlefields,close_game_rate,decisive_game_rate
baseline,top_heavy,weighted_value,250,20,5,15,0.0,1.0,0.0,5.5,9.5,-4.0,0.02118480042554438,0.056599994422867894,0.36666666666666664,0.6333333333333333,1.0,3.0,1.0,0.5149999999999999,0.25,1.4567796494470395,2.1211274733371868,0.0,0.0,0.0,1.0
baseline,top_heavy,winner_take_most,250,20,5,15,1.0,0.0,0.0,11.0,4.0,7.0,0.017551599768921733,0.02759997732937336,0.7333333333333333,0.26666666666666666,4.0,1.0,0.0,0.5149999999999999,0.5050000000000001,1.4567796494470395,0.9927744539878083,0.0,3.0,0.0,1.0
baseline,uniform,anti_top_heavy,250,20,5,15,0.0,1.0,0.0,7.0,8.0,-1.0,0.010115999262779951,0.016999983927235007,0.4666666666666667,0.5333333333333333,2.0,2.0,1.0,0.20000000000000004,0.265,2.321928094887362,2.063865121950854,0.0,0.0,1.0,0.0
baseline,uniform,balanced_priority,250,20,5,15,0.0,1.0,0.0,4.5,10.5,-6.0,0.010216399328783154,0.02750000567175448,0.3,0.7,2.0,2.0,1.0,0.20000000000000004,0.225,2.321928094887362,2.2282129458410016,0.0,0.0,0.0,1.0
baseline,uniform,defensive_spread,250,20,5,15,0.0,1.0,0.0,4.5,10.5,-6.0,0.010794399306178093,0.017600017599761486,0.3,0.7,2.0,2.0,1.0,0.20000000000000004,0.225,2.321928094887362,2.2282129458410016,0.0,0.0,0.0,1.0
baseline,uniform,noisy_weighted,250,20,5,15,0.032,0.968,0.0,4.986,10.014,-5.028,0.011053599184378982,0.018999999156221747,0.3324,0.6676,2.264,2.036,0.7,0.20000000000000004,0.25378,2.321928094887362,2.1166214502216287,0.0,0.0,0.036,0.628
baseline,uniform,random_partition,250,20,5,15,0.656,0.268,0.076,8.69,6.31,2.38,0.00815719983074814,0.014999997802078724,0.5793333333333334,0.4206666666666667,2.672,1.852,0.476,0.20000000000000004,0.34814,2.321928094887362,1.767072213052807,0.0,0.644,0.312,0.464
baseline,uniform,top_heavy,250,20,5,15,1.0,0.0,0.0,10.0,5.0,5.0,0.012039599241688848,0.042400002712383866,0.6666666666666666,0.3333333333333333,4.0,1.0,0.0,0.20000000000000004,0.5149999999999999,2.321928094887362,1.4567796494470395,0.0,0.0,0.0,1.0
baseline,uniform,uniform,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.007583600701764226,0.0219999928958714,0.5,0.5,0.0,0.0,5.0,0.20000000000000004,0.20000000000000004,2.321928094887362,2.321928094887362,0.0,0.0,1.0,0.0
baseline,uniform,weighted_value,250,20,5,15,0.0,1.0,0.0,4.5,10.5,-6.0,0.011091200518421829,0.026200024876743555,0.3,0.7,2.0,2.0,1.0,0.20000000000000004,0.25,2.321928094887362,2.1211274733371868,0.0,0.0,0.0,1.0
baseline,uniform,winner_take_most,250,20,5,15,0.0,1.0,0.0,6.0,9.0,-3.0,0.01210599986370653,0.019500002963468432,0.4,0.6,3.0,2.0,0.0,0.20000000000000004,0.5050000000000001,2.321928094887362,0.9927744539878083,0.0,3.0,0.0,0.0
baseline,weighted_value,anti_top_heavy,250,20,5,15,0.0,1.0,0.0,5.0,10.0,-5.0,0.016255998867563903,0.03209998249076307,0.3333333333333333,0.6666666666666666,1.0,4.0,0.0,0.25,0.265,2.1211274733371868,2.063865121950854,0.0,0.0,0.0,1.0
baseline,weighted_value,balanced_priority,250,20,5,15,1.0,0.0,0.0,9.5,5.5,4.0,0.01541160000488162,0.020499981474131346,0.6333333333333333,0.36666666666666664,1.0,1.0,3.0,0.25,0.225,2.1211274733371868,2.2282129458410016,0.0,0.0,0.0,1.0
baseline,weighted_value,defensive_spread,250,20,5,15,1.0,0.0,0.0,9.5,5.5,4.0,0.014953199424780905,0.02120001590810716,0.6333333333333333,0.36666666666666664,1.0,1.0,3.0,0.25,0.225,2.1211274733371868,2.2282129458410016,0.0,0.0,0.0,1.0
baseline,weighted_value,noisy_weighted,250,20,5,15,0.544,0.324,0.132,7.798,7.202,0.596,0.016099998960271478,0.026299996534362435,0.5198666666666667,0.4801333333333333,1.352,1.36,2.288,0.25,0.25182,2.1211274733371868,2.1229149908432388,0.0,0.0,0.484,0.168
baseline,weighted_value,random_partition,250,20,5,15,0.8,0.156,0.044,9.588,5.412,4.176,0.012309600249864161,0.023800006601959467,0.6392,0.3608,2.492,1.976,0.532,0.25,0.35324,2.1211274733371868,1.764485962210831,0.0,0.608,0.2,0.572
baseline,weighted_value,top_heavy,250,20,5,15,1.0,0.0,0.0,9.5,5.5,4.0,0.015042000683024526,0.021099986042827368,0.6333333333333333,0.36666666666666664,3.0,1.0,1.0,0.25,0.5149999999999999,2.1211274733371868,1.4567796494470395,0.0,0.0,0.0,1.0
baseline,weighted_value,uniform,250,20,5,15,1.0,0.0,0.0,10.5,4.5,6.0,0.009397200541570783,0.022599997464567423,0.7,0.3,2.0,2.0,1.0,0.25,0.20000000000000004,2.1211274733371868,2.321928094887362,0.0,0.0,0.0,1.0
baseline,weighted_value,weighted_value,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.01239759917370975,0.02090001362375915,0.5,0.5,0.0,0.0,5.0,0.25,0.25,2.1211274733371868,2.1211274733371868,0.0,0.0,1.0,0.0
baseline,weighted_value,winner_take_most,250,20,5,15,0.0,1.0,0.0,6.0,9.0,-3.0,0.017201599315740168,0.06180000491440296,0.4,0.6,3.0,2.0,0.0,0.25,0.5050000000000001,2.1211274733371868,0.9927744539878083,0.0,3.0,0.0,0.0
baseline,winner_take_most,anti_top_heavy,250,20,5,15,1.0,0.0,0.0,9.0,6.0,3.0,0.02938559965696186,0.5367000121623278,0.6,0.4,2.0,3.0,0.0,0.5050000000000001,0.265,0.9927744539878083,2.063865121950854,3.0,0.0,0.0,0.0
baseline,winner_take_most,balanced_priority,250,20,5,15,1.0,0.0,0.0,9.0,6.0,3.0,0.024225999019108713,0.07319997530430555,0.6,0.4,2.0,3.0,0.0,0.5050000000000001,0.225,0.9927744539878083,2.2282129458410016,3.0,0.0,0.0,0.0
baseline,winner_take_most,defensive_spread,250,20,5,15,1.0,0.0,0.0,9.0,6.0,3.0,0.01901039993390441,0.15410000924021006,0.6,0.4,2.0,3.0,0.0,0.5050000000000001,0.225,0.9927744539878083,2.2282129458410016,3.0,0.0,0.0,0.0
baseline,winner_take_most,noisy_weighted,250,20,5,15,1.0,0.0,0.0,9.0,6.0,3.0,0.020349600235931575,0.1244999875780195,0.6,0.4,2.0,3.0,0.0,0.5050000000000001,0.25418,0.9927744539878083,2.1148853129018748,3.0,0.0,0.0,0.0
baseline,winner_take_most,random_partition,250,20,5,15,0.848,0.132,0.02,8.7,6.3,2.4,0.015931999660097063,0.032499985536560416,0.58,0.42,1.828,2.756,0.416,0.5050000000000001,0.34216,0.9927744539878083,1.7993657959974023,3.0,0.576,0.044,0.296
baseline,winner_take_most,top_heavy,250,20,5,15,0.0,1.0,0.0,4.0,11.0,-7.0,0.026037601404823363,0.15209999401122332,0.26666666666666666,0.7333333333333333,1.0,4.0,0.0,0.5050000000000001,0.5149999999999999,0.9927744539878083,1.4567796494470395,3.0,0.0,0.0,1.0
baseline,winner_take_most,uniform,250,20,5,15,1.0,0.0,0.0,9.0,6.0,3.0,0.02270199917256832,0.3625999961514026,0.6,0.4,2.0,3.0,0.0,0.5050000000000001,0.20000000000000004,0.9927744539878083,2.321928094887362,3.0,0.0,0.0,0.0
baseline,winner_take_most,weighted_value,250,20,5,15,1.0,0.0,0.0,9.0,6.0,3.0,0.022339200251735747,0.18459997954778373,0.6,0.4,2.0,3.0,0.0,0.5050000000000001,0.25,0.9927744539878083,2.1211274733371868,3.0,0.0,0.0,0.0
baseline,winner_take_most,winner_take_most,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.030938400188460946,0.6107999943196774,0.5,0.5,0.0,0.0,5.0,0.5050000000000001,0.5050000000000001,0.9927744539878083,0.9927744539878083,3.0,3.0,1.0,0.0
high_value,anti_top_heavy,anti_top_heavy,300,40,6,42,0.0,0.0,1.0,21.0,21.0,0.0,0.023502999877867598,0.05639999289996922,0.5,0.5,0.0,0.0,6.0,0.21625,0.21625,2.356844121534168,2.356844121534168,0.0,0.0,1.0,0.0
high_value,anti_top_heavy,balanced_priority,300,40,6,42,1.0,0.0,0.0,26.0,16.0,10.0,0.014212999667506665,0.021599989850074053,0.6190476190476191,0.38095238095238093,3.0,2.0,1.0,0.21625,0.18125,2.356844121534168,2.5221735728363472,0.0,0.0,0.0,0.0
high_value,anti_top_heavy,defensive_spread,300,40,6,42,1.0,0.0,0.0,29.0,13.0,16.0,0.022566999250557274,0.04189999890513718,0.6904761904761905,0.30952380952380953,4.0,1.0,1.0,0.21625,0.195,2.356844121534168,2.459447600415244,0.0,0.0,0.0,1.0
high_value,anti_top_heavy,noisy_weighted,300,40,6,42,0.9366666666666666,0.056666666666666664,0.006666666666666667,27.926666666666666,14.073333333333334,13.853333333333333,0.024138332713240136,0.053899973863735795,0.6649206349206349,0.3350793650793651,4.413333333333333,1.0766666666666667,0.51,0.21625,0.21195833333333336,2.356844121534168,2.377534248305449,0.0,0.0,0.006666666666666667,0.7533333333333333
high_value,anti_top_heavy,random_partition,300,40,6,42,0.6466666666666666,0.34,0.013333333333333334,23.86,18.14,5.72,0.022687667224090546,0.05830000736750662,0.5680952380952381,0.43190476190476185,3.1733333333333333,2.4766666666666666,0.35,0.21625,0.29035833333333333,2.356844121534168,2.061142556750452,0.0,0.43333333333333335,0.013333333333333334,0.33
high_value,anti_top_heavy,top_heavy,300,40,6,42,1.0,0.0,0.0,30.0,12.0,18.0,0.013747332753458371,0.021199986804276705,0.7142857142857143,0.2857142857142857,5.0,1.0,0.0,0.21625,0.48,2.356844121534168,1.6246346558188476,0.0,0.0,0.0,1.0
high_value,anti_top_heavy,uniform,300,40,6,42,1.0,0.0,0.0,24.0,18.0,6.0,0.012319333909545094,0.024399982066825032,0.5714285714285714,0.4285714285714285,3.0,3.0,0.0,0.21625,0.16749999999999998,2.356844121534168,2.581290899230692,0.0,0.0,0.0,0.0
high_value,anti_top_heavy,weighted_value,300,40,6,42,1.0,0.0,0.0,30.0,12.0,18.0,0.014257333532441407,0.020899984519928694,0.7142857142857143,0.2857142857142857,5.0,1.0,0.0,0.21625,0.20125,2.356844121534168,2.4196068993294118,0.0,0.0,0.0,1.0
high_value,anti_top_heavy,winner_take_most,300,40,6,42,0.0,1.0,0.0,20.0,22.0,-2.0,0.016428666810194652,0.06280001252889633,0.4761904761904762,0.5238095238095238,4.0,2.0,0.0,0.21625,0.5050000000000001,2.356844121534168,0.9927744539878084,0.0,4.0,0.0,0.0
high_value,balanced_priority,anti_top_heavy,300,40,6,42,0.0,1.0,0.0,16.0,26.0,-10.0,0.021589999572218705,0.029600021662190557,0.38095238095238093,0.6190476190476191,2.0,3.0,1.0,0.18125,0.21625,2.5221735728363472,2.356844121534168,0.0,0.0,0.0,0.0
high_value,balanced_priority,balanced_priority,300,40,6,42,0.0,0.0,1.0,21.0,21.0,0.0,0.021211999604323257,0.03179998020641506,0.5,0.5,0.0,0.0,6.0,0.18125,0.18125,2.5221735728363472,2.5221735728363472,0.0,0.0,1.0,0.0
